v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,1886,0x13a3aa0,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,1889,0x13a3ae0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,1892,0x13a3b20,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1895,0x13a3b60,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,1898,0x13a3ba0,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,1902,0x13a3be0,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,1905,0x13a5fe0,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1908,0x13aa940,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,1911,0x13acd40,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,1915,0x13afc60,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,1917,0x13aff60,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,1920,0x13b00c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,1923,0x13b0120,36,HasIC_Slow
code-creation,Builtin,3,1926,0x13b0160,181,EnqueueMicrotask
code-creation,Builtin,3,1929,0x13b0220,8,RunMicrotasksTrampoline
code-creation,Builtin,3,1932,0x13b0240,2292,RunMicrotasks
code-creation,Builtin,3,1934,0x13b0b40,2182,HasProperty
code-creation,Builtin,3,1937,0x13b13e0,1364,DeleteProperty
code-creation,Builtin,3,1940,0x13b1940,1912,CopyDataProperties
code-creation,Builtin,3,1942,0x13b20c0,8607,SetDataProperties
code-creation,Builtin,3,1945,0x13b4260,36,Abort
code-creation,Builtin,3,1948,0x13b42a0,36,AbortCSAAssert
code-creation,Builtin,3,1950,0x13b42e0,12,EmptyFunction
code-creation,Builtin,3,1953,0x13b4300,12,Illegal
code-creation,Builtin,3,1956,0x13b4320,12,StrictPoisonPillThrower
code-creation,Builtin,3,1959,0x13b4340,12,UnsupportedThrower
code-creation,Builtin,3,1962,0x13b4360,65,ReturnReceiver
